Food,Alias,Language
Rubbed Wheat (Fereek),Fereek,1
Rubbed Wheat (Fereek),فريك,2
"Rubbed Wheat, Cooked",Rubbed,1
"Rubbed Wheat, Cooked",Wheat,1
"Rubbed Wheat, Cooked",فريك مطبوخ,2
"Rubbed Wheat with Meat, Cooked",Rubbed,1
"Rubbed Wheat with Meat, Cooked",Wheat,1
"Rubbed Wheat with Meat, Cooked",فريك باللحمة,2
Chocolate Coated Biscuit,Chocolate,1
Chocolate Coated Biscuit,Biscuit,1
Chocolate Coated Biscuit,بسكويت بالشوكولاتة,2
Cream Filled Biscuit,Cream,1
Cream Filled Biscuit,Biscuit,1
Cream Filled Biscuit,بسكويت بالكريمة,2
Date Filled Biscuit,Date,1
Date Filled Biscuit,Biscuit,1
Date Filled Biscuit,بسكويت بالتمر,2
Digestive Biscuit,Digestive,1
Digestive Biscuit,Biscuit,1
Digestive Biscuit,بسكويت دايجستف,2
Nice Biscuit,Nice,1
Nice Biscuit,Biscuit,1
Nice Biscuit,بسكويت نايس,2
Plain Biscuit,Biscuit,1
Plain Biscuit,بسكويت سادة,2
Plain Biscuit (Iron-Fortified),Biscuit,1
Plain Biscuit (Iron-Fortified),Iron,1
Plain Biscuit (Iron-Fortified),بسكويت مدعم بالحديد,2
Salted Biscuit,Biscuit,1
Salted Biscuit,بسكويت مملح,2
Salted Biscuit (Pretzel),Biscuit,1
Salted Biscuit (Pretzel),Pretzel,1
Salted Biscuit (Pretzel),بريتزل,2
Chocolate Coated Wafer Biscuit,Chocolate,1
Chocolate Coated Wafer Biscuit,Wafer,1
Chocolate Coated Wafer Biscuit,Biscuit,1
Chocolate Coated Wafer Biscuit,ويفر بالشوكولاتة,2
Cream Filled Wafer Biscuit,Cream,1
Cream Filled Wafer Biscuit,Wafer,1
Cream Filled Wafer Biscuit,Biscuit,1
Cream Filled Wafer Biscuit,ويفر بالكريمة,2
Baladi Bread,Baladi,1
Baladi Bread,Bread,1
Baladi Bread,عيش بلدي,2
Baladi Bread,خبز بلدي,2
Baladi Bread (Wheat/Corn),Baladi,1
Baladi Bread (Wheat/Corn),Bread,1
Baladi Bread (Wheat/Corn),Wheat,1
Baladi Bread (Wheat/Corn),Corn,1
Baladi Bread (Wheat/Corn),عيش بلدي ذرة وقمح,2
Dry Bran Bread (Sin),Dry,1
Dry Bran Bread (Sin),Bran,1
Dry Bran Bread (Sin),Bread,1
Dry Bran Bread (Sin),Sin,1
Dry Bran Bread (Sin),عيش ردة,2
Buns with Sesame,Buns,1
Buns with Sesame,Sesame,1
Buns with Sesame,كايزر بالسمسم,2
Corn/Wheat Bread (1:1),Corn,1
Corn/Wheat Bread (1:1),Wheat,1
Corn/Wheat Bread (1:1),Bread,1
Corn/Wheat Bread (1:1),عيش ذرة وقمح ١:١,2
Corn/Wheat Bread (1:2),Corn,1
Corn/Wheat Bread (1:2),Wheat,1
Corn/Wheat Bread (1:2),Bread,1
Corn/Wheat Bread (1:2),عيش ذرة وقمح ١:٢,2
Corn/Wheat Bread (2:1),Corn,1
Corn/Wheat Bread (2:1),Wheat,1
Corn/Wheat Bread (2:1),Bread,1
Corn/Wheat Bread (2:1),عيش ذرة وقمح ٢:١,2
Bread Crumb,Bread,1
Bread Crumb,Crumb,1
Bread Crumb,فتات عيش,2
Bread Crumb,بقسماط,2
French Bread,French,1
French Bread,Bread,1
French Bread,عيش فينو,2
French Bread,خبز فرنسي,2
Lebanese Bread,Lebanese,1
Lebanese Bread,Bread,1
Lebanese Bread,خبز لبناني,2
Lebanese Bread (Brown),Lebanese,1
Lebanese Bread (Brown),Bread,1
Lebanese Bread (Brown),خبز لبناني أسمر,2
Shami Bread,Shami,1
Shami Bread,Bread,1
Shami Bread,عيش شامي,2
Shamsy Bread,Shamsy,1
Shamsy Bread,Bread,1
Shamsy Bread,عيش شمسي,2
Sliced Bread (Brown Toast),Sliced,1
Sliced Bread (Brown Toast),Bread,1
Sliced Bread (Brown Toast),Toast,1
Sliced Bread (Brown Toast),توست أسمر,2
Sliced Bread (White Toast),Sliced,1
Sliced Bread (White Toast),Bread,1
Sliced Bread (White Toast),Toast,1
Sliced Bread (White Toast),توست أبيض,2
Bread Sticks with Sesame,Bread,1
Bread Sticks with Sesame,Sticks,1
Bread Sticks with Sesame,Sesame,1
Bread Sticks with Sesame,عصي خبز بالسمسم,2
Bread Sticks (Fayesh),Bread,1
Bread Sticks (Fayesh),Sticks,1
Bread Sticks (Fayesh),Fayesh,1
Bread Sticks (Fayesh),فايش,2
Cup Cake,Cup,1
Cup Cake,Cake,1
Cup Cake,كيك كوب,2
Cup Cake,مافن,2
Sponge Cake,Sponge,1
Sponge Cake,Cake,1
Sponge Cake,كيكة اسفنجية,2
Flaky Pastry,Flaky,1
Flaky Pastry,Pastry,1
Flaky Pastry,عجينة مورقة,2
Date Pie (School),Date,1
Date Pie (School),Pie,1
Date Pie (School),فطيرة بالتمر,2
Chufa Tuber (Hab-Alaziz),Chufa,1
Chufa Tuber (Hab-Alaziz),Tuber,1
Chufa Tuber (Hab-Alaziz),Hab,1
Chufa Tuber (Hab-Alaziz),Alaziz,1
Chufa Tuber (Hab-Alaziz),حب العزيز,2
"Chufa Tuber, Wet",Chufa,1
"Chufa Tuber, Wet",Tuber,1
"Chufa Tuber, Wet",حب العزيز طازج,2
Colocasia,قلقاس,2
"Colocasia, Cooked",Colocasia,1
"Colocasia, Cooked",قلقاس مطبوخ,2
Potatoes,بطاطس,2
Potato Chips,Potato,1
Potato Chips,Chips,1
Potato Chips,شيبسي,2
Fried Potatoes,Potatoes,1
Fried Potatoes,بطاطس مقلية,2
Mashed Potatoes with Milk,Potatoes,1
Mashed Potatoes with Milk,Milk,1
Mashed Potatoes with Milk,بطاطس مهروسة باللبن,2
Mashed Potatoes with Meat/Egg,Potatoes,1
Mashed Potatoes with Meat/Egg,Egg,1
Mashed Potatoes with Meat/Egg,بطاطس مهروسة باللحمة والبيض,2
Sweet Potatoes,Sweet,1
Sweet Potatoes,Potatoes,1
Sweet Potatoes,بطاطا,2
Broad Beans,Broad,1
Broad Beans,Beans,1
Broad Beans,فول,2
Decorticated Broad Beans,Broad,1
Decorticated Broad Beans,Beans,1
Decorticated Broad Beans,فول مقشور,2
"Broad Beans (Foul), Canned",Broad,1
"Broad Beans (Foul), Canned",Beans,1
"Broad Beans (Foul), Canned",Foul,1
"Broad Beans (Foul), Canned",فول معلب,2
Kidney Beans (Red),Kidney,1
Kidney Beans (Red),Beans,1
Kidney Beans (Red),لوبيا حمراء,2
Kidney Beans (Red),فاصوليا حمراء,2
Kidney Beans (White),Kidney,1
Kidney Beans (White),Beans,1
Kidney Beans (White),فاصوليا بيضاء,2
"White Kidney Beans, Cooked",Kidney,1
"White Kidney Beans, Cooked",Beans,1
"White Kidney Beans, Cooked",فاصوليا بيضاء مطبوخة,2
White Kidney Beans with Meat,Kidney,1
White Kidney Beans with Meat,Beans,1
White Kidney Beans with Meat,فاصوليا بيضاء باللحمة,2
Mung Beans,Mung,1
Mung Beans,Beans,1
Mung Beans,ماش,2
Chickpeas,حمص,2
Chickpeas (Homos Sham),Chickpeas,1
Chickpeas (Homos Sham),Homos,1
Chickpeas (Homos Sham),Sham,1
Chickpeas (Homos Sham),حمص شامي,2
Yellow Chickpeas,Chickpeas,1
Yellow Chickpeas,حمص أصفر,2
Dry Cowpeas,لوبيا,2
Fresh Cowpeas,لوبيا,2
Dry Cowpeas,Cowpeas,1
Fresh Cowpeas,Cowpeas,1
"Cowpeas, Cooked",Cowpeas,1
"Cowpeas, Cooked",لوبيا مطبوخة,2
Fenugreek,حلبة,2
Unpeeled Lentils,Lentils,1
Unpeeled Lentils,عدس أسمر,2
"Unpeeled Lentils, Cooked",Lentils,1
"Unpeeled Lentils, Cooked",عدس أسمر مطبوخ,2
Peeled Lentils (Yellow),Lentils,1
Peeled Lentils (Yellow),عدس أصفر مقشور,2
"Peeled Lentils with Rice, Cooked",Lentils,1
"Peeled Lentils with Rice, Cooked",Rice,1
"Peeled Lentils with Rice, Cooked",عدس بالأرز,2
Lupines,ترمس,2
Lupines (Termis),Lupines,1
Lupines (Termis),Termis,1
Lupines (Termis),ترمس,2
Dry Peas,بسلة,2
Green Peas,بسلة,2
Dry Peas,Peas,1
Green Peas,Peas,1
Soybeans,فول الصويا,2
Soybean Flour,Soybean,1
Soybean Flour,Flour,1
Soybean Flour,دقيق الصويا,2
Almonds,لوز,2
Dry Coconut,Dry,1
Dry Coconut,Coconut,1
Dry Coconut,جوز هند ناشف,2
Dry Coconut,نارجيل,2
Hazelnuts,بندق,2
Peanuts,فول سوداني,2
Pine Nuts,Pine,1
Pine Nuts,Nuts,1
Pine Nuts,صنوبر,2
Pistachio Nuts,Pistachio,1
Pistachio Nuts,Nuts,1
Pistachio Nuts,فستق,2
Salted Pumpkin Seeds,Pumpkin,1
Salted Pumpkin Seeds,Seeds,1
Salted Pumpkin Seeds,لب أبيض مملح,2
Sesame Seeds,Sesame,1
Sesame Seeds,Seeds,1
Sesame Seeds,سمسم,2
Sesame Butter (Tehina),Sesame,1
Sesame Butter (Tehina),Butter,1
Sesame Butter (Tehina),Tehina,1
Sesame Butter (Tehina),طحينة,2
Walnuts,عين جمل,2
Walnuts,جوز,2
Salted Watermelon Seeds,Watermelon,1
Salted Watermelon Seeds,Seeds,1
Salted Watermelon Seeds,لب بطيخ مملح,2
Artichokes,خرشوف,2
Artichoke Salad,Artichoke,1
Artichoke Salad,Salad,1
Artichoke Salad,سلطة خرشوف,2
Green Broad Beans,Broad,1
Green Broad Beans,Beans,1
Green Broad Beans,فول أخضر,2
Green Beans,Beans,1
Green Beans,فاصوليا خضراء,2
"Green Beans, Cooked",Beans,1
"Green Beans, Cooked",فاصوليا خضراء مطبوخة,2
Beetroots,بنجر,2
Broccoli,بروكلي,2
Brussels Sprouts,Brussels,1
Brussels Sprouts,Sprouts,1
Brussels Sprouts,كرنب بروكسل,2
Red Cabbage,Cabbage,1
Red Cabbage,كرنب أحمر,2
White Cabbage,Cabbage,1
White Cabbage,كرنب أبيض,2
White Cabbage,ملفوف,2
Carrots,جزر,2
Cauliflower,قرنبيط,2
Cauliflower,زهرة,2
"Cauliflower, Cooked",Cauliflower,1
"Cauliflower, Cooked",قرنبيط مطبوخ,2
"Cauliflower with Meat, Cooked",Cauliflower,1
"Cauliflower with Meat, Cooked",قرنبيط باللحمة,2
Celery,كرفس,2
Swiss Chard,Swiss,1
Swiss Chard,Chard,1
Swiss Chard,سلق,2
Green Chickpeas,Chickpeas,1
Green Chickpeas,حمص أخضر,2
Chicory,هندباء,2
Chicory,شيكوريا,2
Coriander Leaves,كزبرة,2
Coriander Seeds,كزبرة,2
Coriander Leaves,Coriander,1
Coriander Seeds,Coriander,1
Cucumber,خيار,2
Pickled Cucumber,Pickled,1
Pickled Cucumber,Cucumber,1
Pickled Cucumber,خيار مخلل,2
Dill,شبت,2
Black or White Eggplant,Eggplant,1
Black or White Eggplant,باذنجان أسود أو أبيض,2
Round Eggplant,Eggplant,1
Round Eggplant,باذنجان بلدي,2
Round Eggplant,باذنجان مدور,2
"Eggplant, Cooked",Eggplant,1
"Eggplant, Cooked",باذنجان مطبوخ,2
Fried Eggplant,Eggplant,1
Fried Eggplant,باذنجان مقلي,2
Fennel,شمر,2
Fenugreek Leaves,Fenugreek,1
Fenugreek Leaves,Leaves,1
Fenugreek Leaves,ورق حلبة,2
Garden Rocket,Garden,1
Garden Rocket,Rocket,1
Garden Rocket,جرجير,2
Garlic Bulb,Garlic,1
Garlic Bulb,ثوم,2
Grape Leaves,Grape,1
Grape Leaves,Leaves,1
Grape Leaves,ورق عنب,2
Pickled Grape Leaves,Pickled,1
Pickled Grape Leaves,Grape,1
Pickled Grape Leaves,Leaves,1
Pickled Grape Leaves,ورق عنب مخلل,2
Jew's Mallow,Jew's,1
Jew's Mallow,Mallow,1
Jew's Mallow,ملوخية,2
Leek Bulb,Leek,1
Leek Bulb,كراث,2
Iceberg Lettuce,Iceberg,1
Iceberg Lettuce,Lettuce,1
Iceberg Lettuce,خس أيسبرج,2
Lettuce Leaves,Lettuce,1
Lettuce Leaves,Leaves,1
Lettuce Leaves,ورق خس,2
Mallow,خبيزة,2
Mint,نعناع,2
Mushrooms,مشروم,2
Mushrooms,عيش الغراب,2
Canned Mushrooms,Mushrooms,1
Canned Mushrooms,مشروم معلب,2
Okra,بامية,2
"Okra, Cooked",Okra,1
"Okra, Cooked",بامية مطبوخة,2
Pickled Black Olives,Pickled,1
Pickled Black Olives,Olives,1
Pickled Black Olives,زيتون أسود مخلل,2
Pickled Green Olives,Pickled,1
Pickled Green Olives,Olives,1
Pickled Green Olives,زيتون أخضر مخلل,2
Pickled Green Onions,Pickled,1
Pickled Green Onions,Onions,1
Pickled Green Onions,بصل أخضر مخلل,2
Mature Onion Bulb,Mature,1
Mature Onion Bulb,Onion,1
Mature Onion Bulb,بصل ناشف,2
Mature Onion Bulb,بصل يابس,2
Pickled Onions,Pickled,1
Pickled Onions,Onions,1
Pickled Onions,بصل مخلل,2
Parsley,بقدونس,2
"Peas and Carrots, Cooked",Peas,1
"Peas and Carrots, Cooked",Carrots,1
"Peas and Carrots, Cooked",بسلة وجزر,2
Green Peppers,Peppers,1
Green Peppers,فلفل أخضر,2
Orange/Red/Yellow Peppers,Peppers,1
Orange/Red/Yellow Peppers,فلفل ألوان,2
Pumpkin,قرع عسلي,2
Pumpkin,يقطين,2
Purslane,رجلة,2
Red Radishes,Radishes,1
Red Radishes,فجل أحمر,2
White Radishes,Radishes,1
White Radishes,فجل أبيض,2
White Radish Root/Leaves,Radish,1
White Radish Root/Leaves,Root,1
White Radish Root/Leaves,Leaves,1
White Radish Root/Leaves,فجل أبيض بالورق,2
Spinach,سبانخ,2
"Spinach, Cooked",Spinach,1
"Spinach, Cooked",سبانخ مطبوخة,2
Squash,كوسة,2
"Squash, Cooked",Squash,1
"Squash, Cooked",كوسة مطبوخة,2
Tomatoes,طماطم,2
Tomatoes,قوطة,2
Tomato Ketchup,Tomato,1
Tomato Ketchup,Ketchup,1
Tomato Ketchup,كاتشب,2
Tomato Roots,Tomato,1
Tomato Roots,Roots,1
Tomato Roots,جذور طماطم,2
Turnip Roots,Turnip,1
Turnip Roots,Roots,1
Turnip Roots,لفت,2
Pickled Vegetables,Pickled,1
Pickled Vegetables,Vegetables,1
Pickled Vegetables,مخلل خضار,2
Pickled Vegetables,طرشي,2
Apples,تفاح,2
Apricots,مشمش,2
Dried Apricots,Apricots,1
Dried Apricots,مشمش مجفف,2
Dried Apricots,قمر الدين,2
Avocado,أفوكادو,2
Bananas,موز,2
Cantaloupe,شمام,2
Custard Apple,Custard,1
Custard Apple,Apple,1
Custard Apple,قشطة,2
Dates,بلح,2
Dates,تمر,2
Dried Dates (Agwa),Dates,1
Dried Dates (Agwa),Agwa,1
Dried Dates (Agwa),عجوة,2
Figs,تين,2
Dried Figs,Figs,1
Dried Figs,تين مجفف,2
Grapefruit,جريب فروت,2
Seedless Grapes,Seedless,1
Seedless Grapes,Grapes,1
Seedless Grapes,عنب بنات بدون بذر,2
Guavas,جوافة,2
Husk Tomatoes,Husk,1
Husk Tomatoes,Tomatoes,1
Husk Tomatoes,عنب الديب,2
Jujube,نبق,2
Kiwifruit,كيوي,2
Lemons,ليمون,2
Sweet Lemons,Sweet,1
Sweet Lemons,Lemons,1
Sweet Lemons,ليمون حلو,2
Lime,ليمون أخضر,2
Lime,لومي,2
Loquat,بشملة,2
Loquat,أكي دنيا,2
Mandarin,يوسفي,2
Mangoes,مانجو,2
Melons,بطيخ أصفر,2
Mulberry,توت,2
Oranges,برتقال,2
Papaya,بابايا,2
Peaches,خوخ,2
Pears,كمثرى,2
Pears,أجاص,2
Persimmon,كاكا,2
Pineapple,أناناس,2
Plums,برقوق,2
Pomegranate,رمان,2
Prickly Pears,Prickly,1
Prickly Pears,Pears,1
Prickly Pears,تين شوكي,2
Dried Prunes,Prunes,1
Dried Prunes,برقوق مجفف,2
Raisins,زبيب,2
Raspberries,توت العليق,2
Strawberries,فراولة,2
Sycamore,جميز,2
Watermelons,بطيخ,2
Fruit Flavored Candy (Hard),Fruit,1
Fruit Flavored Candy (Hard),Flavored,1
Fruit Flavored Candy (Hard),Candy,1
Fruit Flavored Candy (Hard),حلوى بنكهة فواكه,2
Folia Candy,Folia,1
Folia Candy,Candy,1
Folia Candy,حلوى فوليا,2
Homosia Candy,Homosia,1
Homosia Candy,Candy,1
Homosia Candy,حمصية,2
Jellybean Candy,Jellybean,1
Jellybean Candy,Candy,1
Jellybean Candy,حلوى جيلي بينز,2
Koozassal Candy,Koozassal,1
Koozassal Candy,Candy,1
Koozassal Candy,كوزاصل,2
Malban Candy,Malban,1
Malban Candy,Candy,1
Malban Candy,ملبن,2
Nogha Candy with Nuts,Nogha,1
Nogha Candy with Nuts,Candy,1
Nogha Candy with Nuts,Nuts,1
Nogha Candy with Nuts,نوجا بالمكسرات,2
Semsemia Candy,Semsemia,1
Semsemia Candy,Candy,1
Semsemia Candy,سمسمية,2
Toffee Candy,Toffee,1
Toffee Candy,Candy,1
Toffee Candy,توفي,2
Chewing Gum,Chewing,1
Chewing Gum,Gum,1
Chewing Gum,علكة,2
Chewing Gum,لبان,2
Milk Chocolate,Milk,1
Milk Chocolate,Chocolate,1
Milk Chocolate,شوكولاتة باللبن,2
Coconut Chocolate,Coconut,1
Coconut Chocolate,Chocolate,1
Coconut Chocolate,شوكولاتة بجوز الهند,2
Assalia Candy,Assalia,1
Assalia Candy,Candy,1
Assalia Candy,عسلية,2
Chocolate with Nuts,Chocolate,1
Chocolate with Nuts,Nuts,1
Chocolate with Nuts,شوكولاتة بالمكسرات,2
Corn Syrup,Corn,1
Corn Syrup,Syrup,1
Corn Syrup,شيرة الذرة,2
Halawa Tehinia,Halawa,1
Halawa Tehinia,Tehinia,1
Halawa Tehinia,حلاوة طحينية,2
Halawa Tehinia with Nuts,Halawa,1
Halawa Tehinia with Nuts,Tehinia,1
Halawa Tehinia with Nuts,Nuts,1
Halawa Tehinia with Nuts,حلاوة طحينية بالمكسرات,2
Honey,عسل,2
Jams,مربى,2
Jelly Powder,Jelly,1
Jelly Powder,جيلي بودرة,2
Molasses,عسل أسود,2
Sugar (Sucrose),Sugar,1
Sugar (Sucrose),Sucrose,1
Sugar (Sucrose),سكر,2
Sugar (Fructose),Sugar,1
Sugar (Fructose),Fructose,1
Sugar (Fructose),سكر الفواكه,2
Sugar (Fructose),فركتوز,2
Sweeteners,محليات,2
Chocolate Topping,Chocolate,1
Chocolate Topping,صوص شوكولاتة,2
Beef Basterma,Beef,1
Beef Basterma,Basterma,1
Beef Basterma,بسطرمة,2
Beef Basterma Meat,Beef,1
Beef Basterma Meat,Basterma,1
Beef Basterma Meat,لحم بسطرمة,2
Beef Brain,Beef,1
Beef Brain,Brain,1
Beef Brain,مخ بقري,2
Fried Beef Brain,Beef,1
Fried Beef Brain,Brain,1
Fried Beef Brain,مخ مقلي,2
Beef Burger,Beef,1
Beef Burger,Burger,1
Beef Burger,برجر لحم,2
Grilled Beef Burger,Beef,1
Grilled Beef Burger,Burger,1
Grilled Beef Burger,برجر لحم مشوي,2
Beef Frankfurter,Beef,1
Beef Frankfurter,Frankfurter,1
Beef Frankfurter,سجق فرانكفورتر لحم,2
Beef Head,Beef,1
Beef Head,Head,1
Beef Head,راس بقري,2
Boiled Beef Head Meat,Beef,1
Boiled Beef Head Meat,Head,1
Boiled Beef Head Meat,لحم راس مسلوق,2
Beef Heart,Beef,1
Beef Heart,Heart,1
Beef Heart,قلب بقري,2
Beef Kidneys,Beef,1
Beef Kidneys,Kidneys,1
Beef Kidneys,كلاوي بقري,2
Beef Knuckle,Beef,1
Beef Knuckle,Knuckle,1
Beef Knuckle,موزة بقري,2
Beef Liver,Beef,1
Beef Liver,Liver,1
Beef Liver,كبدة بقري,2
Beef Luncheon,Beef,1
Beef Luncheon,Luncheon,1
Beef Luncheon,لنشون لحم,2
Beef Lung,Beef,1
Beef Lung,Lung,1
Beef Lung,رئة بقري,2
Beef Meat,Beef,1
Beef Meat,لحم بقري,2
Beef Meat Round,Beef,1
Beef Meat Round,لحم بقري موزة,2
"Beef Meat (Kubeba, Fried)",Beef,1
"Beef Meat (Kubeba, Fried)",Kubeba,1
"Beef Meat (Kubeba, Fried)",كبيبة مقلية,2
Beef Meat (Brown Sauce),Beef,1
Beef Meat (Brown Sauce),لحم بصوص بني,2
Corned Beef Meat (Canned),Corned,1
Corned Beef Meat (Canned),Beef,1
Corned Beef Meat (Canned),كورد بيف,2
Corned Beef Meat (Canned),لحم مقدد معلب,2
Beef Sausage,Beef,1
Beef Sausage,Sausage,1
Beef Sausage,سجق لحم,2
Grilled Beef Sausage,Beef,1
Grilled Beef Sausage,Sausage,1
Grilled Beef Sausage,سجق مشوي,2
Beef Spleen,Beef,1
Beef Spleen,Spleen,1
Beef Spleen,طحال بقري,2
Beef Tongue,Beef,1
Beef Tongue,Tongue,1
Beef Tongue,لسان بقري,2
Boiled Beef Tongue,Beef,1
Boiled Beef Tongue,Tongue,1
Boiled Beef Tongue,لسان بقري مسلوق,2
Buffalo Meat,Buffalo,1
Buffalo Meat,لحم جاموسي,2
Camel Liver,Camel,1
Camel Liver,Liver,1
Camel Liver,كبدة جمل,2
Camel Meat,Camel,1
Camel Meat,لحم جمل,2
Chicken Frankfurter,Chicken,1
Chicken Frankfurter,Frankfurter,1
Chicken Frankfurter,سجق فراخ,2
Chicken Gizzard,Chicken,1
Chicken Gizzard,Gizzard,1
Chicken Gizzard,قوانص فراخ,2
Chicken Liver,Chicken,1
Chicken Liver,Liver,1
Chicken Liver,كبدة فراخ,2
Chicken Luncheon,Chicken,1
Chicken Luncheon,Luncheon,1
Chicken Luncheon,لنشون فراخ,2
Boiled Chicken,Chicken,1
Boiled Chicken,فراخ مسلوقة,2
Fried Chicken,Chicken,1
Fried Chicken,فراخ مقلية,2
Grilled Chicken,Chicken,1
Grilled Chicken,فراخ مشوية,2
Chicken Meat (Dark),Chicken,1
Chicken Meat (Dark),لحم فراخ غامق,2
Chicken Meat (Light),Chicken,1
Chicken Meat (Light),صدور فراخ,2
Chicken Meat (Light),لحم فراخ فاتح,2
Chicken Meat and Skin,Chicken,1
Chicken Meat and Skin,فراخ بالجلد,2
Duck Meat and Skin,Duck,1
Duck Meat and Skin,بط بالجلد,2
Goat Meat,Goat,1
Goat Meat,لحم ماعز,2
Goose Meat and Skin,Goose,1
Goose Meat and Skin,وز بالجلد,2
Lamb Kidneys,Lamb,1
Lamb Kidneys,Kidneys,1
Lamb Kidneys,كلاوي ضاني,2
Lamb Liver,Lamb,1
Lamb Liver,Liver,1
Lamb Liver,كبدة ضاني,2
Lamb Meat,Lamb,1
Lamb Meat,لحم ضاني,2
Pigeon Meat and Skin,Pigeon,1
Pigeon Meat and Skin,حمام بالجلد,2
Pork Meat,Pork,1
Pork Meat,لحم خنزير,2
Rabbit Meat,Rabbit,1
Rabbit Meat,لحم أرانب,2
Turkey Frankfurter,Turkey,1
Turkey Frankfurter,Frankfurter,1
Turkey Frankfurter,سجق رومي,2
Turkey Luncheon,Turkey,1
Turkey Luncheon,Luncheon,1
Turkey Luncheon,لنشون رومي,2
Turkey Meat and Skin,Turkey,1
Turkey Meat and Skin,رومي بالجلد,2
Veal Meat,Veal,1
Veal Meat,لحم عجل بتلو,2
Whole Chicken Egg,Chicken,1
Whole Chicken Egg,Egg,1
Whole Chicken Egg,بيضة كاملة,2
Chicken Egg White,Chicken,1
Chicken Egg White,Egg,1
Chicken Egg White,بياض بيض,2
Chicken Egg Yolk,Chicken,1
Chicken Egg Yolk,Egg,1
Chicken Egg Yolk,Yolk,1
Chicken Egg Yolk,صفار بيض,2
